SKU,SKU Description,Last Buying Price,Image Link
BM9Y8G5,"LUKER Neon LED Strip Connector, Voltage 220V - LSOC2835",123.75,https://c.76.my/Malaysia/rgb-led-strip-connector-tensen-1804-08-F868657_1.jpg
BM9C9O3,"LUKER Neon LED Flexible Strip Outdoor Light, Voltage 220V, Colour Red/Green/Pink - LSO2835",15950,https://mobileimages.lowes.com/product/converted/755284/755284015492.jpg
BM9Q9Z2,"LUKER Neon LED Flexible Strip Outdoor Light, Voltage 220V, Colour White/Warm White/Blue - LSO2835",270.4,https://mobileimages.lowes.com/product/converted/755284/755284015492.jpg
BM9Y8D9,"BULK MRO APPROVED 2\"" Plain Type PVC Ball Valve",126,http://static6.industrybuying.com/products_medium/plumbing/cpvc-pipes-fittings/valve/PL.CP.BA.1456016.jpg
BM9I1Z4,"BULK MRO APPROVED 2” Electrically Actuated PVC Solenoid Valve, Voltage 230V",3500,https://tameson.com/30611-lager_auido_default/221864-solenoid-valve-2-2-way-1-1-2-inch-brass-nbr-0p2-16bar-230vac.jpg
BM9T9E8,"J Hook , 50 mm , length - 4 inch with nut bolt and rubber washer, threading - 1.5 inch",15,https://4.imimg.com/data4/IR/VT/MY-1366127/j-hook-250x250.jpg
BM9Y1R8,"PVC PIPE 2\ 4KG PRESSURE""",636,https://images.homedepot-static.com/productImages/4301d283-4b08-49a5-8b23-365987cd0c95/svn/pvc-schedule-40-pipe-sch4050-64_1000.jpg
BM9S7U3,"TRANSPERENT POLYTHENE, 2MX 20M long(Quantity - 20Nos)",150,https://images-na.ssl-images-amazon.com/images/I/51aXQ7rbbjL._SY355_.jpg
BM9Z4C8,"WATERPROOF TARPAULINS, BLUE, 2MX 20M long(Quantity - 30Nos)",5,https://4.imimg.com/data4/SU/JT/MY-5923564/waterproof-tarpaulins-500x500.jpg
BM9Z6B2,"MS FLANGES, D TABLE, 2.5\""-OD-181.5MM, ID-62.6MM, PCD-143.9MM, THIKNESS-20MM",495,https://4.imimg.com/data4/BX/AB/MY-3582347/ms-flange-250x250.jpg
BM9V1K4,"MS FLANGES, D TABLE, 3\""- OD-200MM, ID-75MM,PCD-165MM, THIKNESS-20MM",500,https://4.imimg.com/data4/BX/AB/MY-3582347/ms-flange-250x250.jpg
BM9Z4K8,"BULK MRO APPROVED 1.1/4\"" Revolving Castor Wheel, Material Fiber, Width 4 X 32 mm",410,https://4.imimg.com/data4/QT/WF/MY-2534186/revolving-type-steel-castor-wheel-500x500.jpg
BM9Y6H4,"BULK MRO APPROVED 1.1/4\"" Fix Castor Wheel, Material Fiber, Size 4 X 32 mm",383,http://www.castormart.ie/admin/images/Fixed_castor_100mm_wheel_diameter_upto_180kg_capacity_72704.jpeg
BM9R2F8,"BULK MRO APPROVED PVC Elbow, Size 3\"", """,126,https://images.homedepot-static.com/productImages/8c35cf3e-1ab5-415e-9422-8caf460e3452/svn/nds-elbows-41p0-64_1000.jpg
BM9Q9Y2,"BULK MRO APPROVED PVC Flange, Size 3\"", """,435,https://5.imimg.com/data5/VV/AB/MY-7879288/pvc-flange-500x500.jpg
BM9T8Y7,"BULK MRO APPROVED PVC Pipe, Size 3\"", """,1176,https://images-na.ssl-images-amazon.com/images/I/31CgyAVEePL._SX342_.jpg
BM9T8C6,"L&T DOL STARTER,#MK1 FOR 2HP AND 5HP MOTOR",1340,http://static6.industrybuying.com/products_medium/motors-power-transmission/motor-starter/MO.MO1.563353.jpg
BM9B1V3,500 ml spray bottle heavy duty cleaner,600,https://www.janitorialdirect.co.uk/media/product/34d/trigger-spray-bottle-750ml-4d0.jpg
BM0K9T2,Caustic soda Flackes - 50kg bag,44,https://3.imimg.com/data3/JS/NC/MY-3598598/caustic-soda-flakes-250x250.jpg
BM9B4X2,"SONY Cybershot Digital Camera, Max. Resolution 18.2 MP, Body Colour Black - DSC-WX220/B",11148.44,https://images-na.ssl-images-amazon.com/images/I/61%2BjOpykV7L._SX425_.jpg
BM9Q2E6,Crompton Greaves fans High Flo Wave - White,1504.237288,https://n3.sdlcdn.com/imgs/a/t/v/Crompton-Greaves-16-Hiflow-Pedestal-SDL007337233-1-ed337.jpg
BM9X0K7,Bulk MRO APPROVED Shoe Cover,3.5,https://www.rsea.com.au/images/ProductImages/432062.jpg
BM9P0R0,BULK MRO APPROVED Shoe Dispenser,6500,https://3.imimg.com/data3/MM/XG/MY-745685/shoe-cover-dispenser-250x250.jpg
BM9Q2T2,RATTAN WEAVE CHAIR - FURACH0008679,38211.86,https://cdn.shopify.com/s/files/1/0726/3305/products/natural-weave-butterfly-chair_1_copy_800x.jpg?v=1532460763
BM1D1J5,GROZ Continuous Duty Electric Diesel Pump - CDP/220/EU,9738.18,http://www.groz-tools.com/Pix/CDP%20WITH%20MARKING.jpg
BM9P8X6,"Aluminium Profile Patti 1/2\""(20mm) with PVC cover & Selecon Dubble Gun and Tape",160,https://www.dhresource.com/0x0s/f2-albu-g5-M01-38-95-rBVaJFl5-uGAZ-wuAAIv6p_ZrqY191.jpg/led-aluminium-profile-1m-per-piece-led-aluminum.jpg
BM9R1R4,"Marble Cleaninh and profile patti fitting,strip light fixing and connection with labour chargers",65,
BM9N4E8,BULK MRO APPROVED Venom Defender Snake Chap,0,https://snakeprofessional.com/images/detailed/0/snake-protection-chaps-3.jpg
BM9P2D5,GMP MR-12 LAMINATION MACHINE,16700,https://rukminim1.flixcart.com/image/832/832/lamination-machine/k/f/g/mr-12-gmp-original-imae5myjvzvkvepw.jpeg?q=70
BM9P5S3,BULK MRO APPROVED Under Vehicle Search Mirror,3400,https://5.imimg.com/data5/CS/ML/MY-454908/under-vehicle-search-mirror-500x500.jpg
BM9N6X5,"JIFFY Pro-Line Garment Steamer, Voltage 120V - J-4000",28566.67,https://jiffysteamer.com/media/catalog/product/cache/1/image/540x/040ec09b1e35df139433887a97daa66f/j/-/j-4000_grey_1.jpg
BM9N2B7,"BULK MRO APPROVED Megaphone, Power 20W, Size 200 X 325 mm, Material Fresh ABS, Dry Cell 6 X 1.5V, 30",1659.32,http://www.completerentallsorillia.com/events/wp-content/uploads/sites/3/2016/06/52725-watt-megaphone.jpg
BM9N2F1,"BULK MRO APPROVED Megaphone, Power 25W, Size 230 X 350 mm, Material Fresh ABS, Dry Cell 8 X 1.5V",2301.69,http://www.completerentallsorillia.com/events/wp-content/uploads/sites/3/2016/06/52725-watt-megaphone.jpg
BM9N2B4,"AHUJA PA Megaphone, Watt 20W, Horn Dia 220 mm, Length 370 mm - AM-21SM",2616.95,http://ahujaradios.com//images/UploadedImages/thumbs/0010804_ahuja-pa-megaphone-AM-21SM.png
BM9N2Y5,"KORES Easy Cut Paper Shredder, Bin Capacity 15.9 Ltr -",832,https://5.imimg.com/data5/OE/PE/MY-22735246/kores-easy-cut-832-500x500.jpg
,,,
Reliance Corporate IT Park Ltd.,,,
BM9H7Y3,3M Intrinsically Safe Advanced Cable Free Noise Dosimeter with Dual Dosimeter Data Channels and Full Data Logging - EDGE 5D,292545,https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwiGx8LuiKffAhVJbn0KHe11DmQQjRx6BAgBEAU&url=https%3A%2F%2Fenviromed.ca%2Findex.php%3Fid_product%3D654%26controller%3Dproduct&psig=AOvVaw2NHEK1Yhj7DqcAykobqbcc&ust=1545143106718397
BM9I2D7,"EXTECH Color LED Light Meter, Sampling Rate 2.5 Times Per Second - LT45",22040,https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwiI1-KciaffAhUOSX0KHWa3DP0QjRx6BAgBEAU&url=https%3A%2F%2Fwww.homedepot.com%2Fp%2FExtech-Instruments-Pocket-Light-Meter-LT10%2F207145671&psig=AOvVaw0gSsAmCOlq5IErUU5xINr0&ust=1545143173894014
BM9Z2I2,"GRAYWOLF DirectSense IAQ 10\"" Tablet Standard Indoor Air Quality Survey & Monitoring Kit with DirectSense II Probe",25800,https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwilkOuyiaffAhWWUn0KHZDeCAkQjRx6BAgBEAU&url=https%3A%2F%2Fgraywolfsensing.com%2Fiaq%2F&psig=AOvVaw07gp8f2-Q25n1TfG3-riLR&ust=1545143275707973
BM9F7F0,"MESALABS Primary Standard Calibrator, Flow Range 50 to 5000 ml/min- 510",203040,https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwiphru-iaffAhUUeisKHUuYBCEQjRx6BAgBEAU&url=https%3A%2F%2Fsmglink.com%2Fproduct%2Fdrycal-defender-510%2F&psig=AOvVaw1FRT7vhJ6schnEiYjclRd1&ust=1545143299664535
BM9G0F6,"SKC Aircheck Touch Sampler, Model - Aircheck TOUCH Part. No: 220-5000TC-KD",175160,https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwjUk47MiaffAhVNeysKHS4nBNgQjRx6BAgBEAU&url=https%3A%2F%2Fwww.skcinc.com%2Fcatalog%2Fproduct_info.php%3Fproducts_id%3D2337&psig=AOvVaw34B70AGFSbY6CowtMSqHVe&ust=1545143328460113
BM9Z6Y9,"LUM, LED DOWN LIGHT",0,
BM9V6W3,"LUM, LED DOWNLIGHT",0,
BM9T7A2,"LUM, LED DOWN LIGHT",0,
BM9X2B6,"DRIVER,LED;MM:OT FIT 50/220-240/800 CS",0,
BM9Y7M5,ELEMENT,0,
BM9Y8G7,LED DRIVER,0,
BM9W3H8,DRIVER,0,
BM9X8G2,LED DRIVER,0,
BM9Q2D8,"Model - Ninja Pastel Plain, FF NINJA PLAIN L BLACK Helmet , Colour- Black",793.5,https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwje6PjbiaffAhXZF3IKHawoB9UQjRx6BAgBEAU&url=https%3A%2F%2Fwww.amazon.in%2FStudds-Ninja-Pastel-SUS_NPPFFH_BLKXL-Helmet%2Fdp%2FB00NQ2IP0Q&psig=AOvVaw1eQxIqjFKXbyMhccjz-iMy&ust=1545143351506813
BM9K4G5,tranportation,2000,https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwi2p_vkiaffAhVNWH0KHcStAk4QjRx6BAgBEAU&url=https%3A%2F%2Fwww.nesdis.noaa.gov%2Fcontent%2Ftransportation&psig=AOvVaw3YI8uNVidcG5woUyZENdXb&ust=1545143379720130
BM9X4T4,"ARMSTRONG ANF Microlook Acoustic Tile, Size 600 X 600 X 15 mm",51,https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwj435buiaffAhVRVH0KHabzCNsQjRx6BAgBEAU&url=https%3A%2F%2Fwww.ceilingtilesuk.co.uk%2Fceilings%2F56-armstrong-ultima-microlook-7674-600-x-600mm-reveal-edge-15mm-grid-ceiling-tiles.html&psig=AOvVaw1CmWxXM7gE8qLp9POIBwdu&ust=1545143398712280
BM9O9T8,"HAGER 3 Pole Miniature Circuit Breaker for Health Club Building APFC Panel, Current 32 Amp",508,https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwjRnaD3iaffAhXJUn0KHSkvACkQjRx6BAgBEAU&url=https%3A%2F%2Fwww.ebay.com%2Fitm%2FHAGER-B20-NB-320-20-AMP-10KA-TRIPLE-POLE-MCB-CIRCUIT-BREAKER-462320-%2F122446298500&psig=AOvVaw1O05mBl5abz-M6AyzFQq7l&ust=1545143419133601
BM9X3G5,"L & T Heavy Duty Capacitor for Health Club Building APFC Panel, Rating 10 Kvar",2050,https://www.google.com/url?sa=i&source=images&cd=&ved=2ahUKEwj7i9qKiqffAhXKR30KHQw7Cc0QjRx6BAgBEAU&url=http%3A%2F%2Fwww.larsentoubro.com%2Felectrical-automation%2Fproducts-services%2Fproducts%2Flow-voltage-products%2Fpower-quality-solutions%2Fpower-factor-correction-capacitors%2F&psig=AOvVaw1REvKHoPYe_ErPmaABV9LY&ust=1545143439173427
BM9U5H4,"L & T Heavy Duty Capacitor for Health Club Building APFC Panel, Rating 25 Kvar",5125,https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwihk9GXiqffAhUIeH0KHSnUAj0QjRx6BAgBEAU&url=http%3A%2F%2Fwww.larsentoubro.com%2Felectrical-automation%2Fproducts-services%2Fproducts%2Flow-voltage-products%2Fpower-quality-solutions%2Fpower-factor-correction-capacitors%2F&psig=AOvVaw3EqJ0st-pYX5gmdiDTJ4l8&ust=1545143487305527
BM9Q6P0,"L & T Heavy Duty Capacitor for Health Club Building APFC Panel, Rating 5 Kvar",1025,https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwihk9GXiqffAhUIeH0KHSnUAj0QjRx6BAgBEAU&url=http%3A%2F%2Fwww.larsentoubro.com%2Felectrical-automation%2Fproducts-services%2Fproducts%2Flow-voltage-products%2Fpower-quality-solutions%2Fpower-factor-correction-capacitors%2F&psig=AOvVaw3EqJ0st-pYX5gmdiDTJ4l8&ust=1545143487305527
BM9G0P5,"L & T Capacitor Duty Contactor, Health Club Building APFC Panel, Rating 20 Kvar",1972,https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwihk9GXiqffAhUIeH0KHSnUAj0QjRx6BAgBEAU&url=http%3A%2F%2Fwww.larsentoubro.com%2Felectrical-automation%2Fproducts-services%2Fproducts%2Flow-voltage-products%2Fpower-quality-solutions%2Fpower-factor-correction-capacitors%2F&psig=AOvVaw3EqJ0st-pYX5gmdiDTJ4l8&ust=1545143487305527
BM9V7R1,"BULK MRO APPROVED Fuse with Base, Current 4A",183,https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwiopvCmiqffAhXVfysKHU7PA8QQjRx6BAgBEAU&url=https%3A%2F%2Fwww.aliexpress.com%2Fitem%2F5PCS-NH00-size00-knife-type-contact-fuse-body-AC500V-690V50A%2F32375271670.html&psig=AOvVaw0R6xQQ0pHnFzmvOc0WvfsK&ust=1545143513391960
BM9C3Z0M,"L & T Capacitor Duty Contactor for Panel Room APFC Panel, Rating 25 kvar",2238,https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwj4rquxiqffAhXSV30KHWi5B9IQjRx6BAgBEAU&url=%2Furl%3Fsa%3Di%26source%3Dimages%26cd%3D%26ved%3D%26url%3Dhttp%253A%252F%252Fwww.larsentoubro.com%252Felectrical-automation%252Fproducts-services%252Fproducts%252Flow-voltage-products%252Fpower-quality-solutions%252Fpower-factor-correction-capacitors%252F%26psig%3DAOvVaw1jtAlB9EiVhNoyjijpVwcI%26ust%3D1545143536353013&psig=AOvVaw1jtAlB9EiVhNoyjijpVwcI&ust=1545143536353013
BM9G0I0,"L & T Heavy Duty capacitor for Panel Room APFC Panel, Rating 15 kvar",3075,https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwj4rquxiqffAhXSV30KHWi5B9IQjRx6BAgBEAU&url=%2Furl%3Fsa%3Di%26source%3Dimages%26cd%3D%26ved%3D%26url%3Dhttp%253A%252F%252Fwww.larsentoubro.com%252Felectrical-automation%252Fproducts-services%252Fproducts%252Flow-voltage-products%252Fpower-quality-solutions%252Fpower-factor-correction-capacitors%252F%26psig%3DAOvVaw1jtAlB9EiVhNoyjijpVwcI%26ust%3D1545143536353013&psig=AOvVaw1jtAlB9EiVhNoyjijpVwcI&ust=1545143536353013
BM9Y0P4,"L & T Heavy Duty Capacitor for Panel Room APFC Panel, Rating 25 kvar",5125,https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwj4rquxiqffAhXSV30KHWi5B9IQjRx6BAgBEAU&url=%2Furl%3Fsa%3Di%26source%3Dimages%26cd%3D%26ved%3D%26url%3Dhttp%253A%252F%252Fwww.larsentoubro.com%252Felectrical-automation%252Fproducts-services%252Fproducts%252Flow-voltage-products%252Fpower-quality-solutions%252Fpower-factor-correction-capacitors%252F%26psig%3DAOvVaw1jtAlB9EiVhNoyjijpVwcI%26ust%3D1545143536353013&psig=AOvVaw1jtAlB9EiVhNoyjijpVwcI&ust=1545143536353013
BM9T9G8,"L & T Capacitor Duty Contactor for Panel Room APFC Panel, Rating 30 kvar",3419,https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwj4rquxiqffAhXSV30KHWi5B9IQjRx6BAgBEAU&url=%2Furl%3Fsa%3Di%26source%3Dimages%26cd%3D%26ved%3D%26url%3Dhttp%253A%252F%252Fwww.larsentoubro.com%252Felectrical-automation%252Fproducts-services%252Fproducts%252Flow-voltage-products%252Fpower-quality-solutions%252Fpower-factor-correction-capacitors%252F%26psig%3DAOvVaw1jtAlB9EiVhNoyjijpVwcI%26ust%3D1545143536353013&psig=AOvVaw1jtAlB9EiVhNoyjijpVwcI&ust=1545143536353013
BM9P7J4,NOCTURNA-SENTINEL ULTRA Hand Held Night Vision System,44062,https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwjs5OC8iqffAhXSZCsKHcc2BeMQjRx6BAgBEAU&url=https%3A%2F%2Fwww.officer.com%2Fcommand-hq%2Ftechnology%2Fsecurity-surveillance%2Finfrared-ir-technology%2Fproduct%2F20991779%2Finnovative-infrared-night-vision-products-nocturna-llc-sentinel-sentinel-pro-sentinel-ultra-infrared-night-vision-handheld-system&psig=AOvVaw1EU_MvB67D515rNx7uWcPb&ust=1545143565695089
BM9Q3H3,"BARSKA NVX Night Vision NVX200 Infrared Illuminator Digital Binoculars, Black",32999,https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwjWnezEiqffAhVabn0KHY8yBxAQjRx6BAgBEAU&url=https%3A%2F%2Fwww.amazon.com%2FBARSKA-BQ12998-Infrared-Illuminator-Binoculars%2Fdp%2FB075SC6THR&psig=AOvVaw2imibYKb-IQEf34H9kLXo9&ust=1545143582571772
BM9M6O1,"JJC Circular Polarizer Filter for Canon Lens, Size 77 mm",1864.41,https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwi_oe3NiqffAhXWbisKHcMxAqQQjRx6BAgBEAU&url=https%3A%2F%2Fwww.ebay.com%2Fitm%2FJJC-77mm-A-Ultra-Slim-Multi-Coated-Circular-Polarizing-CPL-Filter-Lens-Protector%2F401374009871%3F_trkparms%3Daid%253D222007%2526algo%253DSIM.MBE%2526ao%253D2%2526asc%253D47507%2526meid%253Dfc106586cf76435995696a5e1031e053%2526pid%253D100623%2526rk%253D4%2526rkt%253D6%2526sd%253D142437223736%26_trksid%3Dp2047675.c100623.m-1&psig=AOvVaw2waYH4rCA0QCrbrGl3_JrB&ust=1545143598931256
BM9Q1L0,"JJC Variable ND Filter for Canon Lens, Size 52 mm",2330.51,https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwjf2-LhiqffAhVCdCsKHQZBDYYQjRx6BAgBEAU&url=https%3A%2F%2Fwww.amazon.in%2FJJC-F-NDV58-Variable-Neutral-Photography%2Fdp%2FB06XK4LXWP&psig=AOvVaw0EkR6yqDplRj384E8XKSWi&ust=1545143639387980
BM9H8T4,"VANGUARD Aluminum Monopod with PH-113V Two Way Pan Head, Colour Black - VEO AM-264TV",7627.12,https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwjTjMTpiqffAhVRaCsKHQOqDY8QjRx6BAgBEAU&url=https%3A%2F%2Fwww.101-multimedia.com%2Fen%2Fvanguard%2F1078-vanguard-veo-am-264tv-4-section-aluminum-monopod-with-2-way-pan-head.html&psig=AOvVaw1XKcU3oUhCB5tGWB20FVrY&ust=1545143659681711
BM9C3P0,"SIMPEX Pro25 Heavy DutyTripod, Capacity up to 14 Kg",5932.2,https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwi2ierwiqffAhUNXSsKHU1EBaoQjRx6BAgBEAU&url=https%3A%2F%2Fwww.amazon.in%2FSonia-Hydraulic-Professional-Cameras-Capacity%2Fdp%2FB01K7SVZNK&psig=AOvVaw0PCdDS9R-jJH35Ym4hcTnR&ust=1545143675073965
