Inside Sales Name,Client Order Date,Price Currency,Document Rate,Magento Company Name,Company Alias,Inquiry Number,So #,Order Date,Bm #,Description,Order Qty,Unit Selling Price,Freight,Tax Type,Tax Rate,Tax Amount,Total Selling Price,Total Landed Cost,Unit cost price,Margin,Margin (In %),Kit,AE,sprint_total,sprint_total_with_tax,bible_total,bible_total_with_tax,Abs. Mismatch,Mismatch
Pooja Tirwadkar,21-Aug-15,INR,1,Brand Scientific Equipment Pvt. Ltd.,Brand Scientific,1266,200199,2-Sep-15,BM1A5Z4,Part # 94-350 - 8.0mm 2-Way T-hdl Hex Key Make: Stanley,2,320.5,0,12.5% VAT,13.00%,83.33,641,515,257.5,126,19.66%,No,No,598,675.74,641,724.33,48.59,-48.59
Pooja Tirwadkar,21-Aug-15,INR,1,Brand Scientific Equipment Pvt. Ltd.,Brand Scientific,1266,200199,2-Sep-15,BM1A6O4,Make: Pros - Bent Forceps - Size: regular,2,145,0,12.5% VAT,13.00%,37.7,290,215,107.5,75,25.86%,No,No,258,291.54,290,327.7,36.16,-36.16
Pooja Tirwadkar,21-Aug-15,INR,1,Brand Scientific Equipment Pvt. Ltd.,Brand Scientific,1266,200199,2-Sep-15,BM1A6O5,Make: Pros - Forceps - Size: regular,2,113,0,12.5% VAT,13.00%,29.38,226,161,80.5,65,28.76%,No,No,194,219.22,226,255.38,36.16,-36.16
Pooja Tirwadkar,21-Aug-15,INR,1,Brand Scientific Equipment Pvt. Ltd.,Brand Scientific,1266,200199,2-Sep-15,BM1A6O6,Make: Unit- T - Multimeter - Size: regular ( Model No. UT - 39B ),2,1946.5,0,12.5% VAT,13.00%,506.09,3893,3225,1612.5,668,17.16%,No,No,3862,4364.06,3893,4399.09,35.0299999999997,-35.0299999999997
Pooja Tirwadkar,21-Aug-15,INR,1,Brand Scientific Equipment Pvt. Ltd.,Brand Scientific,1266,200199,2-Sep-15,BM1A8B5,Chemical Splash/Impact Resistant Goggles - Make: Karam ES009,4,251.75,0,12.5% VAT,13.00%,130.91,1007,602,150.5,405,40.22%,No,No,944,1066.72,1007,1137.91,71.1900000000001,-71.1900000000001
Pooja Tirwadkar,21-Aug-15,INR,1,Brand Scientific Equipment Pvt. Ltd.,Brand Scientific,1266,200199,2-Sep-15,BM1A8B6,"Coated Gloves, FORTIX(TM) Nitrile, Blue, PR - Make: Marvel",6,96.8333333333333,0,12.5% VAT,13.00%,75.53,581,258,43,323,55.59%,No,No,486,549.18,581,656.53,107.35,-107.35
Pooja Tirwadkar,21-Aug-15,INR,1,Brand Scientific Equipment Pvt. Ltd.,Brand Scientific,1266,200199,2-Sep-15,BM1A8B7,"Disposable Gloves, Nitrile, L, Blue, PK100 - Make: Anchor",3,635.666666666667,0,12.5% VAT,13.00%,247.91,1907,1290,430,617,32.35%,No,No,1860,2101.8,1907,2154.91,53.1099999999997,-53.1099999999997
Others,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A5Z0,Drill bit set,1,413.46,0,12.5% VAT,13.00%,53.7498,413.46,322,322,91.46,22.12%,No,No,375,423.75,413.46,467.21,43.46,-43.46
Others,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A5Z1,Drill Machine 13mm Bosch,1,4961.54,0,12.5% VAT,13.00%,645.0002,4961.54,3870,3870,1091.54,22.00%,No,No,4500,5085,4961.54,5606.54,521.54,-521.54
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6Q6,SLIDING T-BAR 1/2 SQ. DR. 243mm,1,259.53,0,5.0% VAT,5.00%,12.9765,259.53,207,207,52.53,20.24%,No,No,246,258.3,259.53,272.51,14.21,-14.21
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6Q7,RATCHET 1/2 SQ. DR QUICK RELEASE,1,567.59,0,5.0% VAT,5.00%,28.3795,567.59,454,454,113.59,20.01%,No,No,538,564.9,567.59,595.97,31.07,-31.07
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6Q8,3/8 SQ. DR. Pear Head Ratchet NP7,1,977.99,0,5.0% VAT,5.00%,48.8995,977.99,781,781,196.99,20.14%,No,No,927,973.35,977.99,1026.89,53.5400000000001,-53.5400000000001
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6Q9,SOCKET STD 1/2 SQ. DR. 12PT 24mm,1,93.9,0,5.0% VAT,5.00%,4.695,93.9,84,84,9.90000000000001,10.54%,No,No,89,93.45,93.9,98.6,5.14999999999999,-5.14999999999999
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6R0,SOCKET STD 1/2 SQ. DR. 12PT 22mm,1,86.51,0,5.0% VAT,5.00%,4.3255,86.51,69,69,17.51,20.24%,No,No,82,86.1,86.51,90.84,4.74000000000001,-4.74000000000001
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6R1,SOCKET STD 1/2 SQ. DR. 12PT 19mm,1,69.63,0,5.0% VAT,5.00%,3.4815,69.63,56,56,13.63,19.57%,No,No,66,69.3,69.63,73.11,3.81,-3.81
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6R2,SOCKET STD 1/2 SQ. DR. 12PT 18mm,1,65.41,0,5.0% VAT,5.00%,3.2705,65.41,53,53,12.41,18.97%,No,No,62,65.1,65.41,68.68,3.58000000000001,-3.58000000000001
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6R3,SOCKET STD 1/2 SQ. DR.12PT 17mm,1,68.58,0,5.0% VAT,5.00%,3.429,68.58,55,55,13.58,19.80%,No,No,65,68.25,68.58,72.01,3.76000000000001,-3.76000000000001
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6R4,SOCKET STD 1/2 SQ. DR. 12PT 16mm,1,58.03,0,5.0% VAT,5.00%,2.9015,58.03,46,46,12.03,20.73%,No,No,55,57.75,58.03,60.93,3.18,-3.18
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6R5,SOCKET STD 1/2 SQ. DR. 12PT 11mm,1,52.75,0,5.0% VAT,5.00%,2.6375,52.75,42,42,10.75,20.38%,No,No,50,52.5,52.75,55.39,2.89,-2.89
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6R6,SOCKET STD 1/2 SQ. DR. 12PT 12mm,2,52.75,0,5.0% VAT,5.00%,5.275,105.5,84,42,21.5,20.38%,No,No,100,105,105.5,110.78,5.78,-5.78
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6R7,SOCKET STD 1/2 SQ. DR. 12PT 13mm,1,50.64,0,5.0% VAT,5.00%,2.532,50.64,41,41,9.64,19.04%,No,No,48,50.4,50.64,53.17,2.77,-2.77
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6R9,SOCKET STD 1/2 SQ. DR. 12PT 11mm,1,52.75,0,5.0% VAT,5.00%,2.6375,52.75,42,42,10.75,20.38%,No,No,50,52.5,52.75,55.39,2.89,-2.89
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6S0,SOCKET STD 1/2 SQ. DR. 12PT 10mm,1,52.75,0,5.0% VAT,5.00%,2.6375,52.75,42,42,10.75,20.38%,No,No,50,52.5,52.75,55.39,2.89,-2.89
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6S1,"COMBINATION SPANNER, 32mm",1,277.47,0,5.0% VAT,5.00%,13.8735,277.47,184,184,93.47,33.69%,No,No,263,276.15,277.47,291.34,15.19,-15.19
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6S2,"COMBINATION SPANNER, 30mm",1,246.87,0,5.0% VAT,5.00%,12.3435,246.87,163,163,83.87,33.97%,No,No,234,245.7,246.87,259.21,13.51,-13.51
Others,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6S3,"COMBINATION SPANNER, 27mm",1,112.88,0,12.5% VAT,13.00%,14.6744,112.88,34,34,78.88,69.88%,No,No,107,120.91,112.88,127.55,6.64,-6.64
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6S4,"ProtoÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â® Full Polish Combination Wrench 15/16"" - 12 Point",1,2882.27,0,5.0% VAT,5.00%,144.1135,2882.27,2302,2302,580.27,20.13%,No,No,2732,2868.6,2882.27,3026.38,157.78,-157.78
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6S5,Combination End Wrench Size 24 mm,1,154.03,0,12.5% VAT,13.00%,20.0239,154.03,70,70,84.03,54.55%,No,No,146,164.98,154.03,174.05,9.07000000000002,-9.07000000000002
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6S6,Combination End Wrench Size 22 mm,1,180.41,0,5.0% VAT,5.00%,9.0205,180.41,119,119,61.41,34.04%,No,No,171,179.55,180.41,189.43,9.88,-9.88
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6S7,"COMBINATION SPANNER, 19mm",1,64.36,0,5.0% VAT,5.00%,3.218,64.36,43,43,21.36,33.19%,No,No,61,64.05,64.36,67.58,3.53,-3.53
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6S8,"COMBINATION SPANNER, 18mm",1,62.25,0,5.0% VAT,5.00%,3.1125,62.25,41,41,21.25,34.14%,No,No,59,61.95,62.25,65.36,3.41,-3.41
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6S9,"COMBINATION SPANNER, 17mm",1,50.64,0,5.0% VAT,5.00%,2.532,50.64,33,33,17.64,34.83%,No,No,48,50.4,50.64,53.17,2.77,-2.77
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6T0,"COMBINATION SPANNER, 16mm",1,49.59,0,5.0% VAT,5.00%,2.4795,49.59,33,33,16.59,33.45%,No,No,47,49.35,49.59,52.07,2.72,-2.72
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6T1,Combination End Wrench Size 15 mm,1,59.08,0,12.5% VAT,13.00%,7.6804,59.08,95,95,-35.92,-60.80%,No,No,56,63.28,59.08,66.76,3.48,-3.48
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6T3,"COMBINATION SPANNER, 14mm",1,41.15,0,5.0% VAT,5.00%,2.0575,41.15,27,27,14.15,34.39%,No,No,39,40.95,41.15,43.21,2.26,-2.26
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6T4,"COMBINATION SPANNER, 13mm",1,33.76,0,5.0% VAT,5.00%,1.688,33.76,23,23,10.76,31.87%,No,No,32,33.6,33.76,35.45,1.85,-1.85
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6T5,"COMBINATION SPANNER, 12mm",1,31.65,0,5.0% VAT,5.00%,1.5825,31.65,21,21,10.65,33.65%,No,No,30,31.5,31.65,33.23,1.73,-1.73
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6T6,"COMBINATION SPANNER, 11mm",1,30.6,0,5.0% VAT,5.00%,1.53,30.6,20,20,10.6,34.64%,No,No,29,30.45,30.6,32.13,1.68,-1.68
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6T7,"COMBINATION SPANNER, 10mm",1,29.54,0,5.0% VAT,5.00%,1.477,29.54,19,19,10.54,35.68%,No,No,28,29.4,29.54,31.02,1.62,-1.62
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6T8,"COMBINATION SPANNER, 9mm",1,27.43,0,5.0% VAT,5.00%,1.3715,27.43,18,18,9.43,34.38%,No,No,26,27.3,27.43,28.8,1.5,-1.5
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6T9,"COMBINATION SPANNER, 8mm",1,26.38,0,5.0% VAT,5.00%,1.319,26.38,18,18,8.38,31.77%,No,No,25,26.25,26.38,27.7,1.45,-1.45
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6U0,ProtoÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â® Full Polish Combination Wrench 7 mm - 12 Point,1,1426.36,0,5.0% VAT,5.00%,71.318,1426.36,1139,1139,287.36,20.15%,No,No,1352,1419.6,1426.36,1497.68,78.0800000000002,-78.0800000000002
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6U1,PIPE WRENCH 300mm-12,1,455.76,0,5.0% VAT,5.00%,22.788,455.76,364,364,91.76,20.13%,No,No,432,453.6,455.76,478.55,24.95,-24.95
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6U2,PIPE WRENCH 600mm-24,1,1377.83,0,5.0% VAT,5.00%,68.8915,1377.83,1101,1101,276.83,20.09%,No,No,1306,1371.3,1377.83,1446.72,75.4200000000001,-75.4200000000001
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6U3,"ADJUSTABLE WRENCH, 250mm-10",1,397.74,0,5.0% VAT,5.00%,19.887,397.74,318,318,79.74,20.05%,No,No,377,395.85,397.74,417.63,21.78,-21.78
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6U4,"ADJUSTABLE WRENCH, 375mm-15",1,916.8,0,5.0% VAT,5.00%,45.84,916.8,732,732,184.8,20.16%,No,No,869,912.45,916.8,962.64,50.1899999999999,-50.1899999999999
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6U5,ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬Ãƒâ€¹Ã…â€œCÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬ÃƒÂ¢Ã¢â‚¬Å¾Ã‚Â¢ hook spanner USAG282 Sn/80-120,1,1791.37,0,12.5% VAT,13.00%,232.8781,1791.37,1290,1290,501.37,27.99%,No,No,1698,1918.74,1791.37,2024.25,105.51,-105.51
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6U6,ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬Ãƒâ€¹Ã…â€œCÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬ÃƒÂ¢Ã¢â‚¬Å¾Ã‚Â¢ hook spanner 2ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬Ãƒâ€¹Ã…â€œ -4 3/4,1,1791.37,0,12.5% VAT,13.00%,232.8781,1791.37,1612,1612,179.37,10.01%,No,No,1698,1918.74,1791.37,2024.25,105.51,-105.51
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6U7,DIAGONAL CUTTING PLIER - 152mm-6,1,220.5,0,5.0% VAT,5.00%,11.025,220.5,146,146,74.5,33.79%,No,No,209,219.45,220.5,231.53,12.08,-12.08
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6U8,"Comb PLIER, SINGLE COLOR SLEEVE, 205mm-8",1,241.6,0,5.0% VAT,5.00%,12.08,241.6,160,160,81.6,33.77%,No,No,229,240.45,241.6,253.68,13.23,-13.23
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6U9,"VDE COMBINATION PLIER, 200mm-8",1,1308.2,0,5.0% VAT,5.00%,65.41,1308.2,301,301,1007.2,76.99%,No,No,1240,1302,1308.2,1373.61,71.6099999999999,-71.6099999999999
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6V0,"Stanley Tester - PRO , Bulk Box",1,44.31,0,5.0% VAT,5.00%,2.2155,44.31,40,40,4.31,9.73%,No,No,42,44.1,44.31,46.53,2.43,-2.43
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6V1,"HEX KEY SET-RING, 10PCS, METRIC",1,166.69,0,5.0% VAT,5.00%,8.3345,166.69,133,133,33.69,20.21%,No,No,158,165.9,166.69,175.02,9.12,-9.12
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6V2,"HEX KEY SET-RING, 10PCS, IMPERIAL",1,168.8,0,5.0% VAT,5.00%,8.44,168.8,135,135,33.8,20.02%,No,No,160,168,168.8,177.24,9.24000000000001,-9.24000000000001
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6V3,CUSHION GRIP 6PC SET -CARDED,1,683.64,0,5.0% VAT,5.00%,34.182,683.64,109,109,574.64,84.06%,No,No,648,680.4,683.64,717.82,37.4200000000001,-37.4200000000001
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6V5,S/DVR PRECISION SET 6PC,1,222.61,0,5.0% VAT,5.00%,11.1305,222.61,177,177,45.61,20.49%,No,No,211,221.55,222.61,233.74,12.19,-12.19
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6V7,SCREWDRIVER SET PRECISION BI-MATERIAL,1,224.72,0,5.0% VAT,5.00%,11.236,224.72,179,179,45.72,20.35%,No,No,213,223.65,224.72,235.96,12.31,-12.31
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6V8,"BI-Mat Handl, Curv Lock PLIER, 254mm-10",1,598.19,0,5.0% VAT,5.00%,29.9095,598.19,477,477,121.19,20.26%,No,No,567,595.35,598.19,628.1,32.75,-32.75
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6V9,"TINSNIPS W/O SPRING, 350mm-14",1,1314.53,0,5.0% VAT,5.00%,65.7265,1314.53,1050,1050,264.53,20.12%,No,No,1246,1308.3,1314.53,1380.26,71.96,-71.96
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6W0,"MAXSTEEL SNIP-Al Purp, StrtPtrn,254mm-10",1,610.85,0,5.0% VAT,5.00%,30.5425,610.85,546,546,64.85,10.62%,No,No,579,607.95,610.85,641.39,33.4399999999999,-33.4399999999999
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6W1,"Chisel size big 12""",1,547.54,0,12.5% VAT,13.00%,71.1802,547.54,430,430,117.54,21.47%,No,No,519,586.47,547.54,618.72,32.25,-32.25
Jeetendra Sharma,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6W2,"Chisel size small 6""",1,448.37,0,12.5% VAT,13.00%,58.2881,448.37,269,269,179.37,40.00%,No,No,425,480.25,448.37,506.66,26.41,-26.41
Others,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6W3,"Vernier calliper - 6""",1,1244.89,0,12.5% VAT,13.00%,161.8357,1244.89,1182,1182,62.8900000000001,5.05%,No,No,1180,1333.4,1244.89,1406.73,73.3299999999999,-73.3299999999999
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6W4,Micrometer - 0 to 25 mm,1,642.49,0,12.5% VAT,13.00%,83.5237,642.49,403,403,239.49,37.28%,No,No,609,688.17,642.49,726.01,37.84,-37.84
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6W5,Tool Box steel,1,1194.25,0,12.5% VAT,13.00%,155.2525,1194.25,1075,1075,119.25,9.99%,No,No,1132,1279.16,1194.25,1349.5,70.3399999999999,-70.3399999999999
Others,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6W6,Star Key,1,624.55,0,12.5% VAT,13.00%,81.1915,624.55,884,884,-259.45,-41.54%,No,No,592,668.96,624.55,705.74,36.78,-36.78
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6W7,"PLIER CIRCLIP, STRAIGHT EXTERNAL,180mm-7",1,298.57,0,5.0% VAT,5.00%,14.9285,298.57,239,239,59.57,19.95%,No,No,283,297.15,298.57,313.5,16.35,-16.35
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6W8,"PLIER CIRCLIP, STRAIGHT INTERNAL,180mm-7",1,328.11,0,5.0% VAT,5.00%,16.4055,328.11,262,262,66.11,20.15%,No,No,311,326.55,328.11,344.52,17.97,-17.97
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6W9,Flashlight with battery,1,1220.62,0,12.5% VAT,13.00%,158.6806,1220.62,376,376,844.62,69.20%,No,No,1157,1307.41,1220.62,1379.3,71.8899999999999,-71.8899999999999
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6X0,Flashlight Rechargable,1,449.43,0,12.5% VAT,13.00%,58.4259,449.43,376,376,73.43,16.34%,No,No,426,481.38,449.43,507.86,26.48,-26.48
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6X1,Brass Hammer 2LB,1,3416.06,0,12.5% VAT,13.00%,444.0878,3416.06,3117,3117,299.06,8.75%,No,No,3238,3658.94,3416.06,3860.15,201.21,-201.21
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6X2,"SOFT FACE HAmmER W/WOOD HANDLE, 35mm",1,762.77,0,5.0% VAT,5.00%,38.1385,762.77,609,609,153.77,20.16%,No,No,723,759.15,762.77,800.91,41.76,-41.76
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6X3,"SOFT FACE HAmmER W/WOOD HANDLE, 22mm",1,496.91,0,5.0% VAT,5.00%,24.8455,496.91,397,397,99.91,20.11%,No,No,471,494.55,496.91,521.76,27.21,-27.21
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6X4,Ball Pein Hammer 340gms-12,1,271.14,0,5.0% VAT,5.00%,13.557,271.14,180,180,91.14,33.61%,No,No,257,269.85,271.14,284.7,14.85,-14.85
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6X5,"RubberGrip Hacksaw AdjstFrm, Bld254mm-10",1,628.78,0,5.0% VAT,5.00%,31.439,628.78,502,502,126.78,20.16%,No,No,596,625.8,628.78,660.22,34.4200000000001,-34.4200000000001
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6X6,STANLEY CLASSIC BOX LEVEL 12-30CM,1,508.51,0,5.0% VAT,5.00%,25.4255,508.51,406,406,102.51,20.16%,No,No,482,506.1,508.51,533.94,27.84,-27.84
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6X7,Measuring Tape -10 meters,1,356.59,0,12.5% VAT,13.00%,46.3567,356.59,215,215,141.59,39.71%,No,No,338,381.94,356.59,402.95,21.01,-21.01
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6X8,Measuring Tape - 7.5 meters,1,178.29,0,12.5% VAT,13.00%,23.1777,178.29,145,145,33.29,18.67%,No,No,169,190.97,178.29,201.47,10.5,-10.5
Others,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6Y0,Measuring Tape - 5 meters,1,112.88,0,12.5% VAT,13.00%,14.6744,112.88,118,118,-5.12,-4.54%,No,No,107,120.91,112.88,127.55,6.64,-6.64
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6Y1,20MM ROTARY HAMMER,1,8291.27,0,5.0% VAT,5.00%,414.5635,8291.27,6691,6691,1600.27,19.30%,No,No,7859,8251.95,8291.27,8705.83,453.879999999999,-453.879999999999
Pooja Tirwadkar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6Y2,Jig Saw,1,5745.55,0,5.0% VAT,5.00%,287.2775,5745.55,5589,5589,156.55,2.72%,No,No,5446,5718.3,5745.55,6032.83,314.53,-314.53
