SPRINT Code,Description,Tax Percentage,Govt Match
999612,"Motion picture, videotape, television and radio programme",18,999612
62032900,"Men & Women Jackets, Coats & Garments",5,62032900
2903,Halogenated Derivatives Of Hydrocarbon,18,2903
73259999,Man Hole Cover,0,73259999
2934,,18,2934
42022190,Small Bag Breathing,18,42022190
62160010,Gloves and Mittens of cotton,5,62160010
999312,Medical and Dental Services,0,999312
602,SAPLING,0,602
6210,"9755,",0,6210
8548,Ewaste,5,8548
82119400,Cutting Blade,12,82119400
39172990,Breathing Devices,18,39172990
62160090,Gloves and Mittens of others,5,62160090
82089090,scissors,18,82089090
9965,,18,9965
6003,Nimal Net T Shirts,0,6003
44011210,Firewood or fuel wood,5,44011210
998523,Security systems services,0,998523
998553,"Reservation services for convention centres, congress centres and exhibition halls",0,998553
6302,,0,6302
2941,,0,2941
995412,"Construction services of other residential buildings such as old age homes, homeless shelters, hostels etc",18,995412
995465,Insulation services,18,995465
2810,,18,2810
2815,,18,2815
8524,,18,8524
2828,,18,2828
2905,,18,2905
9017,Calibration Certificate - Service..,18,9017
29181610,CARBOXYLIC ACIDS WITH ADDITIONAL OXYGEN FUNCTION AND THEIR ANHYDRIDES,18,29181610
85394900,UV Lamp,18,85394900
999799,Other services n.e.c.,18,999799
85365090,"PEPPERL FUCHS Sensor NBB0,6-3M22-E2,204254",18,85365090
995413,"Construction services of industrial buildings such as buildings used for production activities (used for assembly line activities), workshops, storage buildings and other similar industrial buildings",18,995413
995414,"Construction services of commercial buildings such as office buildings, exhibition & marriage halls, malls, hotels, restaurants, airports, rail or road terminals, parking garages, petrol and service stations, theatres and other similar buildings.",18,995414
995415,"Construction services of other non-residential buildings such as educational institutions, hospitals, clinics including vertinary clinics, religious establishments, courts, prisons, museums and other similar buildings",18,995415
995416,Construction Services of other buildings n.e.c,18,995416
995419,"Services involving Repair, alterations, additions, replacements, renovation, maintenance or remodelling of the buildings covered above.",18,995419
995421,"General construction services of highways, streets, roads, railways and airfield runways, bridges and tunnels",18,995421
995422,"General construction services of harbours, waterways, dams, water mains and lines, irrigation and other waterworks",18,995422
995423,"General construction services of long-distance underground/overland/submarine pipelines, communication and electric power lines (cables); pumping stations and related works; transformer stations and related works.",18,995423
995424,"General construction services of local water & sewage pipelines, electricity and communication cables & related works",18,995424
995425,General construction services of mines and industrial plants,18,995425
995426,General Construction services of Power Plants and its related infrastructure,18,995426
995427,General construction services of outdoor sport and recreation facilities,18,995427
995428,General construction services of other civil engineering works n.e.c.,18,995428
995429,"Services involving Repair, alterations, additions, replacements, renovation, maintenance or remodelling of the constructions covered above.",18,995429
995431,Demolition services,18,995431
995432,"Site formation and clearance services including preparation services to make sites ready for subsequent construction work, test drilling & boring & core extraction, digging of trenches.",18,995432
995433,Excavating and earthmoving services,18,995433
995434,Water well drilling services and septic system installation services,18,995434
995435,Other site preparation services n.e.c,18,995435
995439,"Services involving Repair, alterations, additions, replacements, maintenance of the constructions covered above.",18,995439
995441,"Installation, assembly and erection services of prefabricated buildings",18,995441
995442,"Installation, assembly and erection services of other prefabricated structures and constructions",18,995442
995443,"Installation services of all types of street furniture (e.g., bus shelters, benches, telephone booths, public toilets, etc.)",18,995443
2921,,18,2921
995444,Other assembly and erection services n.e.c.,18,995444
995449,"Services involving Repair, alterations, additions, replacements, maintenance of the constructions covered above.",18,995449
995451,Pile driving and foundation services,18,995451
2833,,18,2833
995452,Building framing & Roof Framing services,18,995452
995453,Roofing and waterproofing services,18,995453
995454,Concrete services,18,995454
995455,Structural steel erection services,18,995455
995456,Masonry services,18,995456
995457,Scaffolding services,18,995457
995458,Other special trade construction services n.e.c.,18,995458
995459,"Services involving Repair, alterations, additions, replacements, maintenance of the constructions covered above.",18,995459
995461,"Electrical installation services including Electrical wiring & fitting services, fire alarm installation services, burglar alarm system installation services.",18,995461
995462,Water plumbing and drain laying services,18,995462
995463,"Heating, ventilation and air conditioning equipment installation services",18,995463
995464,Gas fitting installation services,18,995464
995466,Lift and escalator installation services,18,995466
995468,Other installation services n.e.c.,18,995468
995469,"Services involving Repair, alterations, additions, replacements, maintenance of the installations covered above.",18,995469
995471,Glazing services,18,995471
995472,Plastering services,18,995472
995473,Painting services,18,995473
995474,Floor and wall tiling services,18,995474
995475,"Other floor laying, wall covering and wall papering services",18,995475
995476,Joinery and carpentry services,18,995476
995477,Fencing and railing services,18,995477
995478,Other building completion and finishing services n.e.c.,18,995478
995479,"Services involving Repair, alterations, additions, replacements, maintenance of the completion/finishing works covered above.",18,995479
996311,"Room or unit accommodation services provided by Hotels, INN, Guest House, Club etc",0,996311
996312,Camp site services,0,996312
996313,Recreational and vacation camp services,0,996313
996321,Room or unit accommodation services for students in student residences,0,996321
996322,"Room or unit accommodation services provided by Hostels, Camps, Paying Guest etc",0,996322
996329,Other room or unit accommodation services n.e.c.,0,996329
996331,"Services provided by Restaurants, Cafes and similar eating facilities including takeaway services, Room services and door delivery of food.",0,996331
996332,"Services provided by Hotels, INN, Guest House, Club etc including Room services, takeaway services and door delivery of food.",0,996332
996333,Services provided in Canteen and other similar establishments,0,996333
996334,"Catering Services in Exhibition halls, Events, Marriage Halls and other outdoor/indoor functions.",0,996334
996335,"Catering services in trains, flights etc.",0,996335
996336,"Preparation and/or supply services of food, edible preparations, alchoholic & non-alchocholic beverages to airlines and other transportation operators",0,996336
996337,Other contract food services,0,996337
996339,"Other food, edible preparations, alchoholic & non-alchocholic beverages serving services n.e.c.",0,996339
996512,"Railway transport services of Goods including letters, parcels, live animals, household & office furniture, intermodal containers, bulk cargo etc",18,996512
996513,"Transport services of petroleum & natural gas, water, sewerage and other goods via pipeline",18,996513
996519,Other land transport services of goods n.e.c.,18,996519
996521,"Coastal and transoceanic (overseas) water transport services of goods by refrigerator vessels, tankers, bulk cargo vessels, container ships etc",18,996521
996522,"Inland water transport services of goods by refrigerator vessels, tankers and other vessels.",18,996522
996531,Air transport services of letters & parcels and other goods,18,996531
996532,Space transport services of freight,18,996532
996712,Customs House Agent services,18,996712
996713,Clearing and forwarding services,18,996713
996719,Other cargo and baggage handling services,18,996719
