document_type,Branch,series_name,first_number,last_number,period_indicator,length
Sales Order,Maharashtra,LWP 2020,102010001,102109999,FY2020-21,9
Sales Order,Maharashtra,BHW 2020,114010001,114109999,FY2020-21,9
Sales Order,Maharashtra,ALT 2020,101010001,101109999,FY2020-21,9
Sales Order,Maharashtra,PUN 2020,103010001,103109999,FY2020-21,9
Sales Order,Gujarat,MAN 2020,109010001,109109999,FY2020-21,9
Sales Order,Karnataka,BAN-2020,110010001,110109999,FY2020-21,9
Sales Order,Tamilnadu,CHE 2020,108010001,108109999,FY2020-21,9
Sales Order,Telangana,HYD 2020,107010001,107109999,FY2020-21,9
Sales Order,Himachal Pradesh,HP 2020,111010001,111109999,FY2020-21,9
Sales Order,Delhi,LPN 2020,112010001,112109999,FY2020-21,9
Sales Order,Tamilnadu,AMB 2020,115010001,115109999,FY2020-21,9
Sales Order,Haryana,HR 2020,116010001,116109999,FY2020-21,9
Sales Order,Telangana,SHT 2020,117010001,117109999,FY2020-21,9
A/R Invoice,Maharashtra,LWP 2020,202010001,202109999,FY2020-21,9
A/R Invoice,Maharashtra,BHW 2020,264010001,264109999,FY2020-21,9
A/R Invoice,Maharashtra,ALT 2020,201010001,201109999,FY2020-21,9
A/R Invoice,Maharashtra,PUN 2020,203010001,203109999,FY2020-21,9
A/R Invoice,Gujarat,MAN 2020,209010001,209109999,FY2020-21,9
A/R Invoice,Karnataka,BAN-2020,266010001,266109999,FY2020-21,9
A/R Invoice,Tamilnadu,CHE 2020,208010001,208109999,FY2020-21,9
A/R Invoice,Telangana,HYD 2020,207010001,207109999,FY2020-21,9
A/R Invoice,Himachal Pradesh,HP 2020,256010001,256109999,FY2020-21,9
A/R Invoice,Delhi,LPN 2020,260010001,260109999,FY2020-21,9
A/R Invoice,Tamilnadu,AMB 2020,265010001,265109999,FY2020-21,9
A/R Invoice,Haryana,HR 2020,267010001,267109999,FY2020-21,9
A/R Invoice,Telangana,SHT 2020,277010001,277109999,FY2020-21,9
A/R Invoice Branch Transfer,Maharashtra,BTMUM 20,210010001,210109999,FY2020-21,9
A/R Invoice Branch Transfer,Gujarat,BTGUJ 20,211010001,211109999,FY2020-21,9
A/R Invoice Branch Transfer,Delhi,BTDEL 20,212010001,212109999,FY2020-21,9
A/R Invoice Branch Transfer,Karnataka,BTBAN 20,213010001,213109999,FY2020-21,9
A/R Invoice Branch Transfer,Tamilnadu,BTCHE 20,214010001,214109999,FY2020-21,9
A/R Invoice Branch Transfer,Telangana,BTHYD 20,215010001,215109999,FY2020-21,9
A/R Invoice Branch Transfer,Maharashtra,BTALT 20,218010001,218109999,FY2020-21,9
A/R Invoice Branch Transfer,Himachal Pradesh,BTHP 2020,257010001,257109999,FY2020-21,9
A/R Invoice Branch Transfer,Haryana,BTHR 20,268010001,268109999,FY2020-21,9
A/R Invoice Credit Memo,Maharashtra,LWP 2020,221010001,221109999,FY2020-21,9
A/R Invoice Credit Memo,Maharashtra,ALT 2020,222010001,222109999,FY2020-21,9
A/R Invoice Credit Memo,Gujarat,MAN 2020,225010001,225109999,FY2020-21,9
A/R Invoice Credit Memo,Tamilnadu,CHE 2020,229010001,229109999,FY2020-21,9
A/R Invoice Credit Memo,Telangana,HYD 2020,230010001,230109999,FY2020-21,9
A/R Invoice Credit Memo,Himachal Pradesh,HP 2020,258010001,258109999,FY2020-21,9
A/R Invoice Credit Memo,Delhi,LPN 2020,262010001,262109999,FY2020-21,9
A/R Invoice Cancel,Maharashtra,CAN-LP20,232010001,232109999,FY2020-21,9
A/R Invoice Cancel,Maharashtra,CAN-AT20,239010001,239109999,FY2020-21,9
A/R Invoice Cancel,Gujarat,CAN-MN20,243010001,243109999,FY2020-21,9
A/R Invoice Cancel,Tamilnadu,CAN-TN20,247010001,247109999,FY2020-21,9
A/R Invoice Cancel,Telangana,CAN-TL20,248010001,248109999,FY2020-21,9
A/R Invoice Cancel,Delhi,CANLPN20,263010001,263109999,FY2020-21,9
Delivery,Maharashtra,LWP 2020,302010001,302109999,FY2020-21,9
Delivery,Maharashtra,BHW 2020,312010001,312109999,FY2020-21,9
Delivery,Maharashtra,ALT 2020,301010001,301109999,FY2020-21,9
Delivery,Maharashtra,PUN 2020,303010001,303109999,FY2020-21,9
Delivery,Gujarat,MAN 2020,309010001,309109999,FY2020-21,9
Delivery,Karnataka,BAN 2020,314010001,314109999,FY2020-21,9
Delivery,Tamilnadu,CHE 2020,308010001,308109999,FY2020-21,9
Delivery,Telangana,HYD 2020,307010001,307109999,FY2020-21,9
Delivery,Himachal Pradesh,HP 2020,310010001,310109999,FY2020-21,9
Delivery,Delhi,LPN 2020,311010001,311109999,FY2020-21,9
Delivery,Tamilnadu,AMB 2020,313010001,313109999,FY2020-21,9
Delivery,Haryana,HR 2020,315010001,315109999,FY2020-21,9
Delivery,Telangana,SHT 2020,316010001,316109999,FY2020-21,9
A/R Invoice GST Debit Memo,Maharashtra,LWP 2020,233010001,233109999,FY2020-21,9
A/R Invoice GST Debit Memo,Gujarat,MAN 2020,234010001,234109999,FY2020-21,9
A/R Invoice GST Debit Memo,Delhi,LPN 2020,235010001,235109999,FY2020-21,9
A/R Invoice GST Debit Memo,Tamilnadu,CHE 2020,236010001,236109999,FY2020-21,9
A/R Invoice GST Debit Memo,Telangana,HYD 2020,237010001,237109999,FY2020-21,9
Purchase Order,Maharashtra,LWP 2020,402010001,402109999,FY2020-21,9
Purchase Order,Maharashtra,BHW 2020,418010001,418109999,FY2020-21,9
Purchase Order,Maharashtra,ALT 2020,401010001,401109999,FY2020-21,9
Purchase Order,Gujarat,MAN 2020,409010001,409109999,FY2020-21,9
Purchase Order,Karnataka,BAN 2020,415010001,415109999,FY2020-21,9
Purchase Order,Tamilnadu,CHE 2020,408010001,408109999,FY2020-21,9
Purchase Order,Telangana,HYD 2020,407010001,407109999,FY2020-21,9
Purchase Order,Delhi,LPN 2020,417010001,417109999,FY2020-21,9
Purchase Order,Tamilnadu,AMB 2020,419010001,419109999,FY2020-21,9
Purchase Order,Haryana,HR 2020,420010001,420109999,FY2020-21,9
Purchase Order,Telangana,SHT 2020,421010001,421109999,FY2020-21,9
GRPO,Maharashtra,LWP 2020,502010001,502109999,FY2020-21,9
GRPO,Maharashtra,BHW 2020,513010001,513109999,FY2020-21,9
GRPO,Maharashtra,ALT 2020,501010001,501109999,FY2020-21,9
GRPO,Gujarat,MAN 2020,509010001,509109999,FY2020-21,9
GRPO,Karnataka,BAN 2020,510010001,510109999,FY2020-21,9
GRPO,Tamilnadu,CHE 2020,508010001,508109999,FY2020-21,9
GRPO,Telangana,HYD 2020,507010001,507109999,FY2020-21,9
GRPO,Himachal Pradesh,HP 2020,511010001,511109999,FY2020-21,9
GRPO,Delhi,LPN 2020,512010001,512109999,FY2020-21,9
GRPO,Tamilnadu,AMB 2020,514010001,514109999,FY2020-21,9
GRPO,Haryana,HR 2020,515010001,515109999,FY2020-21,9
GRPO,Telangana,SHT 2020,516010001,516109999,FY2020-21,9
A/P Invoice,Maharashtra,LWP 2020,602010001,602109999,FY2020-21,9
A/P Invoice,Maharashtra,BHW 2020,647010001,647109999,FY2020-21,9
A/P Invoice,Maharashtra,ALT 2020,601010001,601109999,FY2020-21,9
A/P Invoice,Maharashtra,PUN 2020,603010001,603109999,FY2020-21,9
A/P Invoice,Gujarat,MAN 2020,609010001,609109999,FY2020-21,9
A/P Invoice,Karnataka,BAN 2020,640010001,640109999,FY2020-21,9
A/P Invoice,Tamilnadu,CHE 2020,608010001,608109999,FY2020-21,9
A/P Invoice,Himachal Pradesh,HP 2020,641010001,641109999,FY2020-21,9
A/P Invoice,Delhi,LPN 2020,644010001,644109999,FY2020-21,9
A/P Invoice,Tamilnadu,AMB 2020,648010001,648109999,FY2020-21,9
A/P Invoice,Haryana,HR 2020,649010001,649109999,FY2020-21,9
A/P Invoice,Telangana,SHT 2020,650010001,650109999,FY2020-21,9
A/P Invoice Branch Transfer,Maharashtra,BTMUM 20,629010001,629109999,FY2020-21,9
A/P Invoice Branch Transfer,Gujarat,BTGUJ 20,630010001,630109999,FY2020-21,9
A/P Invoice Branch Transfer,Delhi,BTDEL 20,610010001,610109999,FY2020-21,9
A/P Invoice Branch Transfer,Karnataka,BTBAN 20,611010001,611109999,FY2020-21,9
A/P Invoice Branch Transfer,Tamilnadu,BTCHE 20,612010001,612109999,FY2020-21,9
A/P Invoice Branch Transfer,Telangana,BTHYD 20,613010001,613109999,FY2020-21,9
A/P Invoice Branch Transfer,Himachal Pradesh,BTHP 20,642010001,642109999,FY2020-21,9
A/P Invoice Credit Memo,Maharashtra,LWP 2020,618010001,618109999,FY2020-21,9
A/P Invoice Credit Memo,Maharashtra,ALT 2020,620010001,620109999,FY2020-21,9
A/P Invoice Credit Memo,Gujarat,MAN 2020,624010001,624109999,FY2020-21,9
A/P Invoice Credit Memo,Telangana,HYD 2020,627010001,627109999,FY2020-21,9
A/P Invoice Credit Memo,Tamilnadu,CHE 2020,628010001,628109999,FY2020-21,9
A/P Invoice Credit Memo,Himachal Pradesh,HP 2020,643010001,643109999,FY2020-21,9
A/P Invoice Credit Memo,Delhi,LPN 2020,646010001,646109999,FY2020-21,9
