document_type,branch,series_name,first_number,Last Number,period_indicator,length
A/R Invoice Branch Transfer,Maharashtra,MUM 2022,220120001,220129999,FY2022-23,9
A/R Invoice Branch Transfer,Gujarat,GJ 2022,221120001,221129999,FY2022-23,9
A/R Invoice Branch Transfer,Delhi,DL 2022,222120001,222129999,FY2022-23,9
A/R Invoice Branch Transfer,Tamil Nadu,CH 2022,223120001,223129999,FY2022-23,9
A/R Invoice Branch Transfer,Telangana,HYD 2022,224120001,224129999,FY2022-23,9
A/R Invoice Branch Transfer,Haryana,HR 2022,225120001,225129999,FY2022-23,9
A/R Invoice Branch Transfer,Himachal Pradesh,HP 2022,226120001,226129999,FY2022-23,9
A/R Invoice Branch Transfer,Karnataka,KA -2022,227120001,227129999,FY2022-23,9
A/R Invoice Credit Memo,Maharashtra,MUM 2022,220130001,220139999,FY2022-23,9
A/R Invoice Credit Memo,Gujarat,GJ 2022,221130001,221139999,FY2022-23,9
A/R Invoice Credit Memo,Delhi,DL 2022,222130001,222139999,FY2022-23,9
A/R Invoice Credit Memo,Tamil Nadu,CH 2022,223130001,223139999,FY2022-23,9
A/R Invoice Credit Memo,Telangana,HYD 2022,224130001,224139999,FY2022-23,9
A/R Invoice Credit Memo,Haryana,HR 2022,225130001,225139999,FY2022-23,9
A/R Invoice Credit Memo,Himachal Pradesh,HP 2022,226130001,226139999,FY2022-23,9
A/R Invoice Credit Memo,Karnataka,KA -2022,227130001,227139999,FY2022-23,9
GRPO,Maharashtra,MUM 2022,220160001,220169999,FY2022-23,9
GRPO,Gujarat,GJ 2022,221160001,221169999,FY2022-23,9
GRPO,Delhi,DL 2022,222160001,222169999,FY2022-23,9
GRPO,Tamil Nadu,CH 2022,223160001,223169999,FY2022-23,9
GRPO,Telangana,HYD 2022,224160001,224169999,FY2022-23,9
GRPO,Haryana,HR 2022,225160001,225169999,FY2022-23,9
GRPO,Himachal Pradesh,HP 2022,226160001,226169999,FY2022-23,9
GRPO,Karnataka,KA -2022,227160001,227169999,FY2022-23,9
A/P Invoice,Maharashtra,MUM 2022,220190001,220199999,FY2022-23,9
A/P Invoice,Gujarat,GJ 2022,221190001,221199999,FY2022-23,9
A/P Invoice,Delhi,DL 2022,222190001,222199999,FY2022-23,9
A/P Invoice,Tamil Nadu,CH 2022,223190001,223199999,FY2022-23,9
A/P Invoice,Telangana,HYD 2022,224190001,224199999,FY2022-23,9
A/P Invoice,Haryana,HR 2022,225190001,225199999,FY2022-23,9
A/P Invoice,Himachal Pradesh,HP 2022,226190001,226199999,FY2022-23,9
A/P Invoice,Karnataka,KA -2022,227190001,227199999,FY2022-23,9
A/P Invoice Branch Transfer,Maharashtra,MUM 2022,220200001,220209999,FY2022-23,9
A/P Invoice Branch Transfer,Gujarat,GJ 2022,221200001,221209999,FY2022-23,9
A/P Invoice Branch Transfer,Delhi,DL 2022,222200001,222209999,FY2022-23,9
A/P Invoice Branch Transfer,Tamil Nadu,CH 2022,223200001,223209999,FY2022-23,9
A/P Invoice Branch Transfer,Telangana,HYD 2022,224200001,224209999,FY2022-23,9
A/P Invoice Branch Transfer,Haryana,HR 2022,225200001,225209999,FY2022-23,9
A/P Invoice Branch Transfer,Himachal Pradesh,HP 2022,226200001,226209999,FY2022-23,9
A/P Invoice Branch Transfer,Karnataka,KA -2022,227200001,227209999,FY2022-23,9
A/P Invoice Credit Memo,Maharashtra,MUM 2022,220210001,220219999,FY2022-23,9
A/P Invoice Credit Memo,Gujarat,GJ 2022,221210001,221219999,FY2022-23,9
A/P Invoice Credit Memo,Delhi,DL 2022,222210001,222219999,FY2022-23,9
A/P Invoice Credit Memo,Tamil Nadu,CH 2022,223210001,223219999,FY2022-23,9
A/P Invoice Credit Memo,Telangana,HYD 2022,224210001,224219999,FY2022-23,9
A/P Invoice Credit Memo,Haryana,HR 2022,225210001,225219999,FY2022-23,9
A/P Invoice Credit Memo,Himachal Pradesh,HP 2022,226210001,226219999,FY2022-23,9
A/P Invoice Credit Memo,Karnataka,KA -2022,227210001,227219999,FY2022-23,9
A/P Invoice Bill of Supply,Maharashtra,MUM 2022,220220001,220229999,FY2022-23,9
A/P Invoice Bill of Supply,Gujarat,GJ 2022,221220001,221229999,FY2022-23,9
A/P Invoice Bill of Supply,Delhi,DL 2022,222220001,222229999,FY2022-23,9
A/P Invoice Bill of Supply,Tamil Nadu,CH 2022,223220001,223229999,FY2022-23,9
A/P Invoice Bill of Supply,Telangana,HYD 2022,224220001,224229999,FY2022-23,9
A/P Invoice Bill of Supply,Haryana,HR 2022,225220001,225229999,FY2022-23,9
A/P Invoice Bill of Supply,Himachal Pradesh,HP 2022,226220001,226229999,FY2022-23,9
A/P Invoice Bill of Supply,Karnataka,KA -2022,227220001,227229999,FY2022-23,9
Incoming Payments,Maharashtra,MUM 2022,222300001,222309999,FY2022-23,9
Outgoing Payments,Maharashtra,MUM 2022,222400001,222409999,FY2022-23,9
Journal Vouchers,Maharashtra,MUM 2022,222500001,222509999,FY2022-23,9
Goods Receipt,Maharashtra,MUM 2022,222600001,222609999,FY2022-23,9
Goods Issue,Maharashtra,MUM 2022,222700001,222709999,FY2022-23,9
Inventory Transfer,Maharashtra,MUM 2022,222800001,222809999,FY2022-23,9
