document_type,Branch,series_name,first_number,last_number,period_indicator,length
Sales Quotation,All Warehouses,LWP 2021,102100001,,FY2021-22,9
Sales Order,Maharashtra,LWP 2021,102100001,102199999,FY2021-22,9
Sales Order,Maharashtra,PUN 2021,102200001,102299999,FY2021-22,9
Sales Order,Gujarat,AMD 2021,102300001,102399999,FY2021-22,9
Sales Order,Gujarat,MAN 2021,102400001,102499999,FY2021-22,9
Sales Order,Karnataka,BAN-2021,102500001,102599999,FY2021-22,9
Sales Order,Tamil Nadu,CHE 2021,102600001,102699999,FY2021-22,9
Sales Order,Himachal Pradesh,HP 2021,102700001,102799999,FY2021-22,9
Sales Order,Delhi,LPN 2021,102800001,102899999,FY2021-22,9
Sales Order,Haryana,HR 2021,102900001,102999999,FY2021-22,9
Sales Order,Telangana,SHT 2021,103000001,103099999,FY2021-22,9
A/R Invoice,Maharashtra,LWP 2021,202100001,202199999,FY2021-22,9
A/R Invoice,Maharashtra,PUN 2021,202200001,202299999,FY2021-22,9
A/R Invoice,Gujarat,AMD 2021,202300001,202399999,FY2021-22,9
A/R Invoice,Gujarat,MAN 2021,202400001,202499999,FY2021-22,9
A/R Invoice,Karnataka,BAN-2021,202500001,202599999,FY2021-22,9
A/R Invoice,Tamil Nadu,CHE 2021,202600001,202699999,FY2021-22,9
A/R Invoice,Himachal Pradesh,HP 2021,202700001,202799999,FY2021-22,9
A/R Invoice,Delhi,LPN 2021,202800001,202899999,FY2021-22,9
A/R Invoice,Haryana,HR 2021,202900001,202999999,FY2021-22,9
A/R Invoice,Telangana,SHT 2021,203000001,203099999,FY2021-22,9
A/R Invoice Branch Transfer,Maharashtra,LWP 2021,212100001,212199999,FY2021-22,9
A/R Invoice Branch Transfer,Maharashtra,PUN 2021,212200001,212299999,FY2021-22,9
A/R Invoice Branch Transfer,Gujarat,AMD 2021,212300001,212399999,FY2021-22,9
A/R Invoice Branch Transfer,Gujarat,MAN 2021,212400001,212499999,FY2021-22,9
A/R Invoice Branch Transfer,Karnataka,BAN-2021,212500001,212599999,FY2021-22,9
A/R Invoice Branch Transfer,Tamil Nadu,CHE 2021,212600001,212699999,FY2021-22,9
A/R Invoice Branch Transfer,Himachal Pradesh,HP 2021,212700001,212799999,FY2021-22,9
A/R Invoice Branch Transfer,Delhi,LPN 2021,212800001,212899999,FY2021-22,9
A/R Invoice Branch Transfer,Haryana,HR 2021,212900001,212999999,FY2021-22,9
A/R Invoice Branch Transfer,Telangana,SHT 2021,213000001,213099999,FY2021-22,9
A/R Invoice Credit Memo,Maharashtra,LWP 2021,222100001,222199999,FY2021-22,9
A/R Invoice Credit Memo,Maharashtra,PUN 2021,222200001,222299999,FY2021-22,9
A/R Invoice Credit Memo,Gujarat,AMD 2021,222300001,222399999,FY2021-22,9
A/R Invoice Credit Memo,Gujarat,MAN 2021,222400001,222499999,FY2021-22,9
A/R Invoice Credit Memo,Karnataka,BAN-2021,222500001,222599999,FY2021-22,9
A/R Invoice Credit Memo,Tamil Nadu,CHE 2021,222600001,222699999,FY2021-22,9
A/R Invoice Credit Memo,Himachal Pradesh,HP 2021,222700001,222799999,FY2021-22,9
A/R Invoice Credit Memo,Delhi,LPN 2021,222800001,222899999,FY2021-22,9
A/R Invoice Credit Memo,Haryana,HR 2021,222900001,222999999,FY2021-22,9
A/R Invoice Credit Memo,Telangana,SHT 2021,222900001,222999999,FY2021-22,9
A/R Invoice Cancel,Maharashtra,LWP 2021,232100001,232199999,FY2021-22,9
A/R Invoice Cancel,Maharashtra,PUN 2021,232200001,232299999,FY2021-22,9
A/R Invoice Cancel,Gujarat,AMD 2021,232300001,232399999,FY2021-22,9
A/R Invoice Cancel,Gujarat,MAN 2021,232400001,232499999,FY2021-22,9
A/R Invoice Cancel,Karnataka,BAN-2021,232500001,232599999,FY2021-22,9
A/R Invoice Cancel,Tamil Nadu,CHE 2021,232600001,232699999,FY2021-22,9
A/R Invoice Cancel,Himachal Pradesh,HP 2021,232700001,232799999,FY2021-22,9
A/R Invoice Cancel,Delhi,LPN 2021,232800001,232899999,FY2021-22,9
A/R Invoice Cancel,Haryana,HR 2021,232900001,232999999,FY2021-22,9
A/R Invoice Cancel,Telangana,SHT 2021,233000001,233099999,FY2021-22,9
A/R Invoice GST Debit Memo,Maharashtra,LWP 2021,242100001,242199999,FY2021-22,9
A/R Invoice GST Debit Memo,Maharashtra,PUN 2021,242200001,242299999,FY2021-22,9
A/R Invoice GST Debit Memo,Gujarat,AMD 2021,242300001,242399999,FY2021-22,9
A/R Invoice GST Debit Memo,Gujarat,MAN 2021,242400001,242499999,FY2021-22,9
A/R Invoice GST Debit Memo,Karnataka,BAN-2021,242500001,242599999,FY2021-22,9
A/R Invoice GST Debit Memo,Tamil Nadu,CHE 2021,242600001,242699999,FY2021-22,9
A/R Invoice GST Debit Memo,Himachal Pradesh,HP 2021,242700001,242799999,FY2021-22,9
A/R Invoice GST Debit Memo,Delhi,LPN 2021,242800001,242899999,FY2021-22,9
A/R Invoice GST Debit Memo,Haryana,HR 2021,242900001,242999999,FY2021-22,9
A/R Invoice GST Debit Memo,Telangana,SHT 2021,243000001,243099999,FY2021-22,9
Delivery,Maharashtra,LWP 2021,302100001,302199999,FY2021-22,9
Delivery,Maharashtra,PUN 2021,302200001,302299999,FY2021-22,9
Delivery,Gujarat,AMD 2021,302300001,302399999,FY2021-22,9
Delivery,Gujarat,MAN 2021,302400001,302499999,FY2021-22,9
Delivery,Karnataka,BAN-2021,302500001,302599999,FY2021-22,9
Delivery,Tamil Nadu,CHE 2021,302600001,302699999,FY2021-22,9
Delivery,Himachal Pradesh,HP 2021,302700001,302799999,FY2021-22,9
Delivery,Delhi,LPN 2021,302800001,302899999,FY2021-22,9
Delivery,Haryana,HR 2021,302900001,302999999,FY2021-22,9
Delivery,Telangana,SHT 2021,303000001,303099999,FY2021-22,9
Delivery Cancel,Maharashtra,LWP 2021,312100001,312199999,FY2021-22,9
Delivery Cancel,Maharashtra,PUN 2021,312200001,312299999,FY2021-22,9
Delivery Cancel,Gujarat,AMD 2021,312300001,312399999,FY2021-22,9
Delivery Cancel,Gujarat,MAN 2021,312400001,312499999,FY2021-22,9
Delivery Cancel,Karnataka,BAN-2021,312500001,312599999,FY2021-22,9
Delivery Cancel,Tamil Nadu,CHE 2021,312600001,312699999,FY2021-22,9
Delivery Cancel,Himachal Pradesh,HP 2021,312700001,312799999,FY2021-22,9
Delivery Cancel,Delhi,LPN 2021,312800001,312899999,FY2021-22,9
Delivery Cancel,Haryana,HR 2021,312900001,312999999,FY2021-22,9
Delivery Cancel,Telangana,SHT 2021,313000001,313099999,FY2021-22,9
Purchase Order,Maharashtra,LWP 2021,402100001,402199999,FY2021-22,9
Purchase Order,Maharashtra,PUN 2021,402200001,402299999,FY2021-22,9
Purchase Order,Gujarat,AMD 2021,402300001,402399999,FY2021-22,9
Purchase Order,Gujarat,MAN 2021,402400001,402499999,FY2021-22,9
Purchase Order,Karnataka,BAN-2021,402500001,402599999,FY2021-22,9
Purchase Order,Tamil Nadu,CHE 2021,402600001,402699999,FY2021-22,9
Purchase Order,Himachal Pradesh,HP 2021,402700001,402799999,FY2021-22,9
Purchase Order,Delhi,LPN 2021,402800001,402899999,FY2021-22,9
Purchase Order,Haryana,HR 2021,402900001,402999999,FY2021-22,9
Purchase Order,Telangana,SHT 2021,403000001,403099999,FY2021-22,9
GRPO,Maharashtra,LWP 2021,502100001,502199999,FY2021-22,9
GRPO,Maharashtra,PUN 2021,502200001,502299999,FY2021-22,9
GRPO,Gujarat,AMD 2021,502300001,502399999,FY2021-22,9
GRPO,Gujarat,MAN 2021,502400001,502499999,FY2021-22,9
GRPO,Karnataka,BAN-2021,502500001,502599999,FY2021-22,9
GRPO,Tamil Nadu,CHE 2021,502600001,502699999,FY2021-22,9
GRPO,Himachal Pradesh,HP 2021,502700001,502799999,FY2021-22,9
